قومی	 وزیراعظم عمران خان نے کل ایسی جگہ جانے کا فیصلہ کر لیا کہ اپوزیشن رہنما بھی دنگ  
قومی	 پاکستان کا یمن کے معاملے پر موثر کردار ادا کرنے کا فیصلہ ، صدر مملکت عارف علوی  
قومی	 سابق وزیراعظم یوسف رضاگیلانی کے بھانجے کی گاڑی پر فائرنگ  
قومی	 علیم خان کی جائیدادیں ملک سے باہر ، تفصیلات آنے پر میرٹ پر کارروائی ہوگی :ڈی جی  
قومی	 سرکاری افسر اکرام نوید نے50کروڑ چرائے اور شہباز شریف کے داماد علی عمران کو 13  
قومی	 وزیراعظم عمران خان نے ملک کی صورتحال میں بہتری کے لیے حتمی وقت دے دیا،حالات  
قومی	 سیاسی جماعتیں اداروں کوگالیاں دینے والوں کیخلاف متحد ہوجائیں :فیصل واڈا 
قومی	 عمران خان کو عاشق رسول ﷺ قرار دلوانے کیلئے فیصل آباد کے مولانا کودھمکیاں دی  
قومی	 نوازشریف کےخلاف فلیگ شپ ریفرنس کی سماعت آج ہوگی 
قومی	 آسیہ بی بی کی بیرون ملک روانگی کی خبریں درست نہیں،ترجمان دفترخارجہ  
قومی	 وزیراعظم عمران خان کی زیر صدارت وفاقی کابینہ کا اجلاس آج ہوگا 
قومی	 سپریم کورٹ میں ایم ڈی پی ٹی وی ازخودنوٹس سمیت اہم مقدمات کی سماعت آج ہوگی 
قومی	 فوادچودھری کی آسیہ بی بی کی بیرون ملک روانگی کی تردید 
قومی	 احتساب کے نعرے سے پیچھے نہیں ہٹیں گے،فیاض الحسن چوہان  
قومی	 ڈاکٹر عافیہ صدیقی کے معاملے میں پاکستان کو بڑی کامیابی مل گئی ، امریکہ نے یقین  
قومی	 سینیٹ اجلاس،حکومتی وزراءکی عدم مودگی پر اپوزیشن کا ایوان سے واک آؤٹ 
قومی	 دیامربھاشاڈیم کی حدبندی سے متعلق کیس کی سماعت2 ہفتے کیلئے ملتوی  
قومی	 جعلی بینک اکاﺅنٹس کیس 12 نومبر کو سماعت کیلئے مقرر،چیف جسٹس پاکستان کی سربراہی  
قومی	 سپریم کورٹ نے ایم ڈی پی ٹی وی تعیناتی کیس کاتفصیلی فیصلہ جاری کردیا 
قومی	 پاکستان اورآئی ایم ایف کے مذاکرات کا دوسرا روز، آج پاور سیکٹر کا ڈیٹا شیئر کیا  
قومی	 منشا بم کیخلاف قائم جے آئی ٹی کی رپورٹ سپریم کورٹ میں پیش 
قومی	 حکومت کے ’ پاکستان سییٹزن پورٹل ‘ کے پہلے کیس پر عملدرآمد ہو گیا ،احکامات جاری  
قومی	 سی پیک پاکستان سمیت خطے کےلئے گیم چینجر ہے، شاہ محمودقریشی 
قومی	 حکومت کا پنجاب میں 2 نئی ٹیکنیکل ایجوکیشن یونیورسٹیاں بنانے کافیصلہ 
قومی	 این اے 95 میانوالی،عمران خان کی نااہلی کیلئے دائر درخواست پر فیصلہ محفوظ 
قومی	 صوبائی حکومت نے یوم اقبال پر چھٹی کا اعلان کردیا 
قومی	 شہبازشریف کی گرفتاری کیخلاف ایک اورانٹراکورٹ اپیل دائر 
قومی	 وزیر اعظم کی زیر صدارت وفاقی کابینہ کا اجلاس ختم ، 21 نکاتی ایجنڈے پرغور 
قومی	 ”اب کوئی بھی وزیر یا مشیر یہ کام نہیں کر سکے گا“عمران خان نے اپنے وزراءپر اب تک  
قومی	 وزیراعظم عمران خان نے چین کے بعد ملائیشیا کے دورے کی تیاری شروع کردی 
قومی	 گواہ کےساتھ کیسے چلنا ہوتا ہے یہ پڑھ کر آیا کریں،نیب پراسیکیوٹر اورنوازشریف کے  
قومی	 پی آئی اے کے چیف کمرشل افسر کو ہٹا دیا گیا 
قومی	 مائیک پومپیوکے ساتھ ملاقات مثبت رہی،ڈاکٹرعافیہ کی بہن سے آیندہ ہفتے ملاقات  
قومی	 ”اپوزیشن کے ساتھ مل کر کام کرنا چاہتے ہیں “با لآخر وزیراعظم نے لہجہ بدل لیا  
قومی	 دھرنے سے نمٹنے میں کامیابی نہ ملتی تو فوری چین سے واپس آجاتا :وزیر اعظم  
قومی	 فخر زمان کی مسلسل خراب پرفارمنس پرکپتان سرفراز احمد بھی میدان میں آگئے ،حیران  
قومی	 بلوں کی مکمل وصولی کی جائے :آئی ایم ایف نے بجلی پر سبسڈی ختم کرنے کا مطالبہ کردیا  
قومی	 اقبال ڈے کے موقع پرعام تعطیل ، حکومت سندھ نے تردید کردی  
قومی	 چیف جسٹس کے سکواڈ کی گاڑی موٹر وے پر حادثے کا شکار ،سات پولیس اہلکار زخمی  
قومی	 تحریک انصاف ڈیل کرکے اقتدار میں نہیں آئی ،اداروں کو تحفظ دیں گے :فیصل واڈا  
قومی	 شہباز شریف کے داماد نے13کروڑ کے سرکاری چیک لیکر ذاتی اکاﺅنٹ میں ڈلوائے :ڈی جی  
قومی	 عافیہ صدیقی کو ضرور واپس آنا چاہیے لیکن فوزیہ صدیقی کے بیانات تنازع پیدا کر رہے  
قومی	 شہبازشریف نے کہا کہ ”رمضان شوگر مل میرے بیٹوں کی ہے اس سے منسلک نالہ سرکار ی خرچ  
قومی	 نواب وسان کے خواب ہمیشہ غلط ہی ثابت ہوئے، آصف زرداری گرفتاری سے بچنے کے لیے  
قومی	 ستاروں کی روشنی میں آپ کیلئے آج ( جمعہ)کا دن کیسا رہے گا ؟ 
قومی	 جدہ سے کراچی آنیوالے عمرہ زائرین کی پرواز کی لینڈنگ کی تیاریاں لیکن پھر ایسا  
قومی	 چین نے پاکستان کو نقد مالی مدد کا اعلان کرنے سے روک دیا، وزیراعظم 
قومی	 وزیراعظم کا یوم اقبال پرآج خصوصی ویڈیو پیغام نشرکرنے کا امکان  
قومی	 فلیگ شپ انویسٹمنٹ ریفرنس میں نواز شریف آج پھر احتساب عدالت میں پیش نہیں ہوں گے 
قومی	 الگ وطن کاتصورپیش کرنے پرعلامہ اقبال کوہمیشہ یادرکھاجائےگا،صدر مملکت  
قومی	 مفکر پاکستان شاعر مشرق علامہ محمد اقبال کا 141 واں یوم پیدائش آج منایا جارہا ہے 
قومی	  فلیگ شپ انویسٹمنٹ ریفرنس،عدالت نے نیب کو نئی دستاویزات پیش کرنے کی اجازت دے دی 
قومی	 وفاقی حکومت کا ایک کروڑ نوکری دینے کا اعلان لیکن اب تک کتنی آسامیاں خالی ہوچکی  
قومی	 ایم ڈی پی ٹی وی تقرری کیس میں سپریم کورٹ کے 7.91 کروڑ ادا کرنے کے حکم پر پرویز رشید  
قومی	 فلیگ شپ ریفرنس،نواز شریف کی حاضری سے عارضی استثنا کی درخواست منظور 
قومی	 بیل آؤٹ پیکج کے بغیر معیشت مشکل سے نہیں نکل سکتی، اسد عمر  
قومی	 اثاثہ جات کیس،حمزہ شہبازنیب لاہورآفس پیش 
قومی	 این آر او کیس، سپریم کورٹ کا مشرف، زرداری ، ملک قیوم کے اثاثوں کی تفصیلات سر  
قومی	 تحریک استحقاق کا ہتھیار استعمال کرکے کیس پر اثرانداز ہونا درست نہیں، فواد  
قومی	 دہشتگردی کے مقدمات میں گرفتار 68 افراد کو رہا کیا جائے گایا نہیں ؟ سپریم کورٹ نے  
قومی	 ایک کروڑ نوکریوں کے حوالے سے آگے بڑھ رہے ہیں،مراد سعید 
قومی	 انجیو پلاسٹی کے بعد عدالت آمد لیکن پھر کس کے اصرار پر چیف جسٹس آرام کرنے پر  
قومی	 چیف جسٹس لاہور ہائیکورٹ نے لاہور میں ملک کی پہلی شام کی عدالت کا افتتاح کر دیا  
